bt,ownerNo,modelYear,Fuel Type,Insurance Validity,Kms Driven,Transmission,Year of Manufacture,Mileage,Gear Box,City,price_in_lakhs
Sedan,1,2010,CNG,Comprehensive,70000,Manual,2010,13,5,Bangalore,2.2
Sedan,1,2014,Diesel,Comprehensive,90000,Automatic,2014,17,8,Bangalore,14.75
Hatchback,1,2020,Petrol,Third Party insurance,40000,Manual,2020,21,5,Bangalore,4.15
Hatchback,1,2016,Petrol,Comprehensive,63797,Manual,2016,18,5,Bangalore,6.1
Hatchback,2,2018,Petrol,Comprehensive,60216,Manual,2018,18,5,Bangalore,5.6
Hatchback,2,2015,Petrol,Third Party insurance,10000,Automatic,2015,23,5,Bangalore,4.25
Hatchback,1,2016,Petrol,Comprehensive,38153,Manual,2016,21,5,Bangalore,6.86
Hatchback,1,2015,Petrol,Third Party insurance,76485,Manual,2015,22,5,Bangalore,5.17
Hatchback,2,2015,Petrol,Third Party insurance,40000,Manual,2015,20,5,Bangalore,3.85
Hatchback,1,2016,Petrol,Third Party insurance,40623,Manual,2016,21,5,Bangalore,6.75
Sedan,2,2018,Diesel,Third Party insurance,18000,Automatic,2018,19,9,Bangalore,33.0
Hatchback,1,2014,Petrol,Third Party insurance,88051,Manual,2014,22,5,Bangalore,4.99
Hatchback,1,2022,Petrol,Third Party insurance,16522,Manual,2022,22,5,Bangalore,7.74
SUV,2,2019,Diesel,Third Party insurance,70000,Manual,2019,16,6,Bangalore,14.75
Hatchback,3,2008,Petrol,Third Party insurance,80000,Manual,2008,18,5,Bangalore,2.4
SUV,1,2019,Diesel,Third Party insurance,50000,Manual,2019,23,6,Bangalore,10.25
SUV,1,2023,Petrol,Third Party insurance,10000,Manual,2023,17,6,Bangalore,14.0
Hatchback,2,2013,Petrol,Third Party insurance,57000,Manual,2013,21,5,Bangalore,2.85
SUV,1,2016,Diesel,Third Party insurance,110000,Manual,2016,16,6,Bangalore,10.0
Hatchback,1,2019,Petrol,Comprehensive,10000,Manual,2019,21,5,Bangalore,7.8
Hatchback,2,2012,Petrol,Third Party insurance,50000,Manual,2012,18,5,Bangalore,4.75
SUV,1,2019,Diesel,Third Party insurance,120000,Manual,2019,20,6,Bangalore,7.5
Hatchback,1,2014,Petrol,Third Party insurance,35469,Manual,2014,18,5,Bangalore,5.55
Hatchback,2,2017,Petrol,Third Party insurance,40073,Manual,2017,18,5,Bangalore,6.07
Hatchback,2,2017,Petrol,Comprehensive,65730,Manual,2017,18,5,Bangalore,5.14
Sedan,2,2005,Petrol,Third Party insurance,120000,Manual,2005,15,5,Bangalore,2.5
Hatchback,2,2016,Petrol,Third Party insurance,36184,Manual,2016,21,5,Bangalore,7.05
Hatchback,1,2016,Petrol,Third Party insurance,69310,Manual,2016,21,5,Bangalore,6.53
Sedan,1,2015,Petrol,Third Party insurance,55643,Automatic,2015,18,5,Bangalore,8.72
Hatchback,2,2017,Petrol,Comprehensive,62803,Automatic,2017,18,4,Bangalore,5.64
Hatchback,2,2011,Diesel,Third Party insurance,90000,Manual,2011,22,5,Bangalore,3.7
Hatchback,1,2015,Petrol,Third Party insurance,68656,Manual,2015,22,5,Bangalore,5.5
